Date,Portfolio Value
2022-02-18,201906.27962890884
2022-02-22,199522.33264889527
2022-02-23,196916.34621187195
2022-02-24,196923.74355278665
2022-02-25,201898.65540855963
2022-02-28,201100.50327662023
2022-03-01,196456.61902514324
2022-03-02,199321.2274092531
2022-03-03,198235.36327342116
2022-03-04,196617.61102050374
2022-03-07,190227.0524970293
2022-03-08,190576.21873454162
2022-03-09,193843.1131299947
2022-03-10,194556.64811137714
2022-03-11,193142.73868510395
2022-03-14,192673.18704558484
2022-03-15,195301.47241940262
2022-03-16,199303.03265228582
2022-03-17,201569.69901414672
2022-03-18,203845.72630786162
2022-03-22,203930.00948513034
2022-03-23,201382.46397754052
2022-03-24,204637.36215759534
2022-03-25,205827.1304489943
2022-03-28,206534.40256886644
2022-03-29,208544.38441769354
2022-03-30,207711.57089867
2022-03-31,204966.37312794174
2022-04-01,205572.218724913
2022-04-04,206943.85976731303
2022-04-05,204093.102426024
2022-04-06,202215.51084117198
2022-04-07,202724.32626931623
2022-04-08,202002.25602174344
2022-04-11,198117.5009534089
2022-04-12,197565.44823299564
2022-04-13,200873.72178659873
2022-04-14,199068.3702033167
2022-04-18,199532.15266037686
2022-04-19,202545.24309034244
2022-04-20,201885.31849157228
2022-04-21,198468.83301009375
2022-04-22,193234.14502747366
2022-04-25,194682.7682369703
2022-04-26,189775.0426265855
2022-04-27,188368.6886739187
2022-04-28,194182.6667086679
2022-04-29,187512.77499289374
2022-05-02,188740.0341574218
2022-05-04,194632.26217846945
2022-05-05,187861.73647574207
2022-05-06,187247.93548397478
2022-05-09,180336.48404111425
2022-05-10,180920.54551267912
2022-05-11,177955.86405618433
2022-05-12,176263.54568503765
2022-05-13,180994.25240236332
2022-05-16,180362.54635452965
2022-05-17,182415.37833643658
2022-05-18,173820.6639023896
2022-05-19,172750.34771370667
2022-05-20,172559.8668391808
2022-05-23,176603.42586126828
2022-05-24,175412.73200739248
2022-05-25,177369.05929174394
2022-05-26,181044.10096571015
2022-05-27,185321.2496677976
2022-05-31,184623.2025017303
2022-06-01,183341.82823657995
2022-06-02,186874.03357006426
2022-06-03,183911.28551102433
2022-06-06,184208.91362899923
2022-06-07,185363.21146834854
2022-06-08,183496.4267522407
2022-06-09,178700.4530041538
2022-06-10,172959.91399080827
2022-06-13,166572.55462535017
2022-06-14,166643.9244819235
2022-06-16,164110.03558322685
2022-06-17,164854.03797983145
2022-06-21,168854.9466441191
2022-06-22,167230.1515481835
2022-06-23,168882.96014553352
2022-06-24,174284.85773092604
2022-06-27,172670.964713474
2022-06-28,167842.84846973047
2022-06-29,167593.37436962608
2022-06-30,165226.30514282163
2022-07-01,166556.97876474855
2022-07-05,168035.23695261922
2022-07-06,168392.21955775964
2022-07-07,171166.5358691064
2022-07-08,170768.63472501386
2022-07-11,168415.4299373231
2022-07-12,166375.46348782876
2022-07-13,166011.35883464225
2022-07-14,165468.99863116496
2022-07-15,169114.94113818434
2022-07-18,169040.06861772752
2022-07-19,174659.00132018558
2022-07-20,177543.99577757533
2022-07-21,178920.2796810705
2022-07-22,176250.5305507776
2022-07-25,175713.8112201649
2022-07-26,170954.22894090757
2022-07-27,176844.75636122795
2022-07-28,179752.72039791354
2022-08-01,185337.62614475173
2022-08-02,183225.4816300088
2022-08-03,186189.76113348478
2022-08-04,185793.2558317828
2022-08-05,186047.622360412
2022-08-08,184737.41500884914
2022-08-09,184229.09896877347
2022-08-10,188832.2014667641
2022-08-11,188963.65250374458
2022-08-12,191982.4394400419
2022-08-15,192503.3409551972
2022-08-16,193881.53871347973
2022-08-17,192209.50622587002
2022-08-18,192510.25290108967
2022-08-19,188669.81886386717
2022-08-22,184167.89184497192
2022-08-23,184352.23458929508
